sample,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,cam_x,cam_y,cam_z,cam_rvec_x,cam_rvec_y,cam_rvec_z,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg
1,-0.599651,0.232740,0.663873,98.3708,89.4891,62.5549,0.024710,0.005891,0.121744,-2.832087,0.156439,-0.590607,-19,-17,-61,113,9,-25
2,-0.165281,0.111494,0.717455,104.9971,89.9997,55.9972,-0.116344,0.026241,0.571807,3.093306,-0.199358,-0.044935,-34,47,-102,-0,-20,90
3,-0.135404,0.051535,0.717177,119.0895,49.7434,48.1112,-0.122528,0.058908,0.630157,2.922291,0.963319,0.857909,-34,55,-106,34,-20,18
4,-0.145325,0.075349,0.691027,112.3400,77.4624,57.8947,-0.061584,0.055712,0.615464,2.954473,0.218932,0.641409,-45,55,-111,57,-20,28
5,-0.301301,0.228325,0.776701,106.3358,82.5517,60.9738,-0.109628,0.100174,0.418012,2.610380,-0.108259,0.305598,-45,18,-81,61,-20,28
6,-0.302390,0.115801,0.648795,108.2201,91.0437,63.5107,0.015895,-0.005748,0.449895,3.034758,-0.150568,0.450626,-15,33,-111,60,13,28
7,-0.188493,0.183487,0.733262,114.9796,105.5445,79.1052,0.073019,0.121677,0.527742,2.584698,-0.433710,-0.059099,-74,33,-100,103,-51,28
8,0.039352,0.234903,0.662919,124.3670,50.8080,59.0566,-0.175259,0.026656,0.704257,2.611337,0.841223,0.751441,-132,13,-100,122,-119,-25
9,-0.186806,0.040139,0.727011,102.2025,112.1685,78.3134,0.190921,-0.073008,0.552774,-2.922284,0.676868,-0.132644,-163,-46,98,-57,40,-25
10,-0.391065,0.116368,0.714483,98.9259,84.1260,48.0936,-0.061910,0.004056,0.371870,-2.732249,0.059252,-1.020898,-181,-14,85,-81,40,-25
11,-0.548676,0.163140,0.703557,98.0165,82.5767,45.0797,-0.009108,0.027100,0.221780,-2.671075,0.047906,-1.034082,-186,11,62,-81,38,-25
12,-0.356482,0.226217,0.679210,104.7939,113.2794,69.0528,-0.035976,0.024256,0.351242,2.769595,-0.736412,0.231205,-36,17,-95,101,-9,15
13,-0.083837,0.015839,0.570151,120.8275,84.9638,65.2319,0.058728,0.059410,0.690762,2.848262,0.107895,0.555560,-36,81,-135,250,13,-158
14,-0.113828,-0.063039,0.600065,107.3957,86.4304,67.7628,0.162089,-0.081601,0.682405,-2.987678,0.022978,-0.508204,-72,81,-121,250,52,-133
15,-0.127545,0.033841,0.717055,110.2889,89.2614,67.2271,0.061935,0.061336,0.592053,2.699751,-0.143861,-0.836271,-52,57,-105,238,33,-133
16,-0.455889,0.212538,0.739595,72.9604,86.1773,66.1761,-0.002737,-0.078708,0.226762,-2.398407,0.178755,-0.468702,155,5,50,360,52,-94
