sample,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,cam_x,cam_y,cam_z,cam_rvec_x,cam_rvec_y,cam_rvec_z,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg
1,-0.541647,0.099378,0.746301,110.4012,113.9585,89.6120,0.002088,0.009966,0.179567,-3.017677,0.558008,0.036092,-11,-5,-67,107,-2,9
2,-0.546087,0.071085,0.746293,110.4001,113.9599,92.5904,0.038394,-0.004922,0.169782,-3.005440,0.550706,0.115413,-8,-5,-67,107,-2,9
3,-0.537878,0.118126,0.746291,110.3998,113.9599,87.6205,-0.022583,0.020177,0.185317,-3.024022,0.553385,-0.019406,-13,-5,-67,107,-2,9
4,-0.513224,0.093985,0.774212,113.5942,113.3779,90.8789,0.023963,0.043537,0.212930,-3.075560,0.546020,0.048565,-11,-2,-67,107,-2,9
5,-0.559725,0.102935,0.726914,108.2612,114.3100,88.7313,-0.012699,-0.011415,0.156552,-2.992367,0.562568,0.026542,-11,-7,-67,107,-2,9
6,-0.541876,0.099332,0.745757,109.5369,109.2856,87.7460,0.001946,0.009809,0.179279,-3.017023,0.433080,-0.014592,-11,-5,-67,102,-2,9
7,-0.541464,0.099564,0.746762,111.4674,118.6177,91.6251,0.001954,0.010325,0.179509,-3.006578,0.681140,0.078080,-11,-5,-67,112,-2,9
8,-0.541647,0.099421,0.746292,109.7243,109.2927,87.7731,0.002102,0.010757,0.179871,-3.027298,0.431843,-0.020597,-11,-5,-67,107,-2,4
9,-0.541648,0.099421,0.746291,112.6517,124.1997,94.2187,0.001079,0.008574,0.178621,-2.961413,0.815832,0.145934,-11,-5,-67,107,-2,20
10,-0.443995,0.261202,0.699461,107.3490,94.5238,113.8426,0.005357,-0.052442,0.289477,-2.932517,0.007350,0.615287,-48,-11,-67,-256,-68,11
11,-0.452767,0.245659,0.699479,107.3506,94.5245,115.8269,0.026901,-0.051482,0.272509,-2.916132,0.005779,0.674028,-46,-11,-67,-256,-68,11
12,-0.429794,0.283938,0.699481,107.3507,94.5242,110.8595,-0.028016,-0.053017,0.311992,-2.939850,0.015263,0.551200,-51,-11,-67,-256,-68,11
13,-0.426221,0.241639,0.724401,108.2814,91.6858,113.8777,0.037420,-0.022258,0.302971,-2.956222,-0.064086,0.606105,-48,-8,-67,-256,-68,11
14,-0.455286,0.273722,0.682142,106.7273,96.4131,113.7842,-0.016916,-0.071074,0.279519,-2.920195,0.053330,0.632886,-48,-13,-67,-256,-68,11
15,-0.439241,0.261804,0.712473,112.0206,95.9914,115.3086,0.013296,-0.013458,0.305482,-2.980401,0.074802,0.685444,-48,-11,-67,-251,-68,11
16,-0.446475,0.261230,0.691493,104.5651,93.5908,113.0233,0.001089,-0.074706,0.277533,-2.890009,-0.027684,0.607648,-48,-11,-67,-259,-68,11
17,-0.444000,0.261179,0.699460,107.2915,88.8083,112.0601,0.006559,-0.051061,0.288961,-2.944680,-0.137153,0.580397,-48,-11,-67,-256,-68,5
18,-0.443994,0.261179,0.699480,107.7727,103.1073,116.5894,0.003462,-0.053714,0.289007,-2.875925,0.225045,0.693008,-48,-11,-67,-256,-68,20
19,-0.497641,-0.113740,0.715145,113.5744,103.9793,55.0407,0.033673,-0.013595,0.331607,2.943191,-0.278589,0.885252,-330,-11,-67,-290,68,11
20,-0.491046,-0.139515,0.715140,113.5730,103.9807,58.0296,0.070770,-0.021895,0.344075,2.964340,-0.293156,0.824250,-327,-11,-67,-290,68,11
21,-0.502892,-0.087695,0.715140,113.5730,103.9806,52.0606,-0.002283,-0.005224,0.313163,2.909831,-0.278951,0.976722,-333,-11,-67,-290,68,11
22,-0.474063,-0.100025,0.739853,114.8918,106.6813,55.3808,0.012877,0.023630,0.344363,2.901671,-0.330421,0.895693,-330,-8,-67,-290,68,11
23,-0.520094,-0.126732,0.689046,112.2851,101.2735,54.7645,0.056103,-0.049126,0.315150,-3.017872,0.220374,-0.926317,-330,-14,-67,-290,68,11
24,-0.502213,-0.111577,0.702062,108.9922,106.0291,54.8959,0.026278,-0.055597,0.311473,-2.971295,0.376495,-0.914422,-330,-11,-67,-285,68,11
25,-0.492652,-0.117053,0.727747,118.1188,101.9101,55.0252,0.039516,0.029947,0.342990,2.874946,-0.185100,0.906816,-330,-11,-67,-295,68,11
26,-0.497637,-0.113772,0.715153,113.0508,97.5567,52.2312,0.028494,-0.009267,0.331656,-2.985620,0.115265,-1.008943,-330,-11,-67,-290,68,4
27,-0.497642,-0.113770,0.715140,114.4549,110.3770,58.0268,0.038109,-0.017696,0.328531,2.914062,-0.430116,0.804453,-330,-11,-67,-290,68,18
28,-0.021561,-0.026852,0.854789,87.1763,87.0765,92.0364,0.203853,-0.187174,0.643386,-2.632061,-0.137536,0.043745,-8,38,-50,10,-81,85
29,-0.020643,-0.027575,0.854787,87.1753,87.0750,94.0195,0.231419,-0.184005,0.641662,-2.665517,-0.175697,0.113489,-6,38,-50,10,-81,85
30,-0.023402,-0.025276,0.854787,87.1753,87.0751,88.0445,0.149302,-0.194504,0.648942,-2.636102,-0.111826,-0.069419,-12,38,-50,10,-81,85
31,-0.055148,-0.022112,0.852983,84.2295,87.5994,92.1540,0.200561,-0.209628,0.599201,-2.613821,-0.131609,0.068424,-8,35,-50,10,-81,85
